Date;Dernier
29/07/2016;1721.79
01/08/2016;1717.67
02/08/2016;1706.52
03/08/2016;1703.43
04/08/2016;1707.69
05/08/2016;1716.65
08/08/2016;1719.91
09/08/2016;1728.52
10/08/2016;1727.49
11/08/2016;1735.8
12/08/2016;1736.1
15/08/2016;1739.43
16/08/2016;1730.94
17/08/2016;1731.64
18/08/2016;1736.83
19/08/2016;1731.85
22/08/2016;1732.61
23/08/2016;1738.55
24/08/2016;1731.17
25/08/2016;1727.3
26/08/2016;1726.08
29/08/2016;1725.57
30/08/2016;1723.65
31/08/2016;1719.52
01/09/2016;1723.55
02/09/2016;1734.6
05/09/2016;1737.39
06/09/2016;1745.89
07/09/2016;1747.47
08/09/2016;1744.44
09/09/2016;1707.94
12/09/2016;1715.76
13/09/2016;1694.83
14/09/2016;1692.53
15/09/2016;1704.84
16/09/2016;1696.31
19/09/2016;1703.08
20/09/2016;1703.23
21/09/2016;1721.69
22/09/2016;1740.55
23/09/2016;1729.7
26/09/2016;1714.85
27/09/2016;1719.88
28/09/2016;1725.63
29/09/2016;1719.77
30/09/2016;1725.67
03/10/2016;1722.82
04/10/2016;1717.82
05/10/2016;1721.14
06/10/2016;1718.4
07/10/2016;1712.4
10/10/2016;1719.29
11/10/2016;1700.33
12/10/2016;1695.54
13/10/2016;1689.62
14/10/2016;1693.71
17/10/2016;1687.84
18/10/2016;1701.1
19/10/2016;1706.74
20/10/2016;1704.04
21/10/2016;1701.16
24/10/2016;1706.24
25/10/2016;1701.2
26/10/2016;1699.92
27/10/2016;1694.66
28/10/2016;1690.96
31/10/2016;1690.92
01/11/2016;1683.96
02/11/2016;1672.83
03/11/2016;1667.03
04/11/2016;1660.12
07/11/2016;1685.62
08/11/2016;1691.74
09/11/2016;1696.46
10/11/2016;1701.29
11/11/2016;1696.99
14/11/2016;1692.31
15/11/2016;1701.82
16/11/2016;1698.41
17/11/2016;1706.98
18/11/2016;1697.35
21/11/2016;1710.49
22/11/2016;1713.07
23/11/2016;1709.71
24/11/2016;1713.27
25/11/2016;1720.84
28/11/2016;1712.98
29/11/2016;1715.42
30/11/2016;1712.09
01/12/2016;1708.64
02/12/2016;1708.94
05/12/2016;1718.1
06/12/2016;1727.82
07/12/2016;1749.31
08/12/2016;1752.94
09/12/2016;1760.12
12/12/2016;1760.25
13/12/2016;1774.01
14/12/2016;1763.72
15/12/2016;1754.51
16/12/2016;1754.74
19/12/2016;1758.82
20/12/2016;1761.43
21/12/2016;1760.09
22/12/2016;1757.83
23/12/2016;1759.15
